,production_budget_usd,worldwide_Gross_usd
1201,40000000,22365133
1202,30000000,12017369
1203,16000000,54294169
1204,1600000,2627795
1205,30000000,4967493
1206,180000,1628579
1207,10000000,63465522
1208,40000000,28544120
1209,6000,240495
1210,22000000,19288130
1211,600000,85343
1212,10000000,12179708
1213,3000000,3076820
1214,40000000,96398826
1215,6000000,6852450
1216,66000,602920
1217,23000000,10660147
1218,12000000,2062406
1219,1000000,5494
1220,60000000,35319689
1221,14000000,4741987
1222,5000000,19421271
1223,4000000,64359
1224,65000000,463517383
1225,13000000,60414025
1226,55000000,34105207
1227,8300000,2598224
1228,5000000,99147
1229,50000000,31333917
1230,13000000,6276869
1231,3000000,101773
1232,75000000,73521587
1233,33000000,8408835
1234,20700000,2840417
1235,14000000,6552255
1236,8500000,17202854
1237,66000000,211700000
1238,15000000,4023741
1239,2000000,1152411
1240,50000000,161626121
1241,6000000,4398989
1242,30000000,176885658
1243,11000000,75803716
1244,1350000,28356188
1245,68000000,60265197
1246,48000000,151463090
1247,21000000,36882378
1248,14000000,14395874
1249,115000000,1027044677
1250,15000000,8322608
1251,375000,617172
1252,42000000,363728226
1253,16000000,11810854
1254,4000000,399793
1255,68000000,33462011
1256,48000000,124304264
1257,40000000,672806292
1258,10000000,836641
1259,145000000,448191819
1260,60000000,149705852
1261,10700000,31341183
1262,1750000,22879194
1263,30000000,228641283
1264,175000000,221229335
1265,21000000,52037603
1266,80000000,416385488
1267,24000000,16304786
1268,600000,248300000
1269,65000000,104267443
1270,27000000,31770413
1271,6000000,25059640
1272,4000000,34145
1273,80000000,180188905
1274,75000000,97387965
1275,10000000,10571408
1276,60000000,165048228
1277,70000000,310138178
1278,500000,1027228
1279,250000,20628
1280,64000000,63200000
1281,14000000,30628981
1282,10000000,6030047
1283,2000000,20741000
1284,700000,10508
1285,32000000,2899970
1286,55000000,98699769
1287,25000000,11115766
1288,16000000,5825314
1289,40000000,53864342
1290,40000000,10717421
1291,7000000,15471229
1292,125000000,61698899
1293,34000000,10672566
1294,22000000,9818792
1295,15000000,11614954
1296,7000000,2165637
1297,5700000,69582
1298,6500000,28383441
1299,1600000,6026908
1300,21500000,24419219
1301,12000000,234723148
1302,15000000,356258047
1303,50000000,46112640
1304,36000000,117448157
1305,12000000,178287
1306,3500000,9871
1307,250000,178095
1308,40000000,177835231
1309,28700000,4559569
1310,18000000,229311
